,Description of intake location changes,Description of noncompliance with terms and conditions,Description of place of use changes,Description of type of use changes,I am complying with all terms and conditions,I have reviewed my water right permit,Intake location has been changed,Place of use has changed,Type of use has changed,ApplID,Report_ID
751,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109979
752,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109980
753,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109981
754,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109982
755,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109983
756,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109984
757,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109985
758,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109986
759,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109987
760,,92 AF stored in July (after but about June 30),,,No,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109988
761,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109990
762,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109991
763,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109992
764,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109993
765,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109994
766,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112570
767,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=151438
768,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157410
769,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207981
770,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235174
771,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294070
772,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=334923
773,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339947
774,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37753
775,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49805
776,,,,,Yes,,,,,A011331,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85361
777,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110001
778,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110002
779,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110003
780,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110004
781,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110005
782,,"diversion rate exceeds 50 cfs, but A011331+A011332 is less than 150 cfs",,,No,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110006
783,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110007
784,,"diversion rate exceeds 50 cfs, but A011331+A011332 is less than 150 cfs",,,No,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110008
785,,"diversion rate exceeds 50 cfs, but A011331+A011332 is less than 150 cfs",,,No,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110009
786,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110010
787,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110011
788,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110012
789,,"diversion rate exceeds 50 cfs, but A011331+A011332 is less than 150 cfs",,,No,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110013
790,,"diversion rate exceeds 50 cfs, but A011331+A011332 is less than 150 cfs",,,No,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110014
791,,"diversion rate exceeds 50 cfs, but A011331+A011332 is less than 150 cfs",,,No,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110015
792,,"diversion rate exceeds 50 cfs, but A011331+A011332 is less than 150 cfs",,,No,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110017
793,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113106
794,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=151449
795,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156472
796,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207623
797,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235175
798,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293135
799,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=334996
800,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340739
801,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37729
802,,,,,Yes,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49851
803,,"diversion rate exceeds 50 cfs, but A011331+A011332 is less than 150 cfs",,,No,,,,,A011332,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85896
804,,"See attached file, item 2.",,,No,,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112007
805,,See attached file item 2.,,,No,,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=151621
806,,See attached file item 2.,,,No,,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156312
807,,,,,Yes,,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207252
808,,See attachment Item #2,,,Yes,,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235176
809,,See attachment Item #2,,,Yes,,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=290355
810,,See attachment Item #2.,,,Yes,,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292977
811,,See attachment Item #2.,,,Yes,,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340367
812,,,,,No,,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36427
813,,,,,Yes,,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48976
814,,See Additional Remarks,,,No,Yes,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50355
815,,See additional remarks,,,No,,,,,A011389,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84791
816,,The water is no longer put to beneficial use. The FS intends to maintain ownership of this permit. See notes.,,,No,,,,,A011449,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112376
817,,The water is no longer put to beneficial use. The FS intends to maintain ownership of this permit. See notes.,,,No,,,,,A011449,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156845
818,,The water is not put into current beneficial use. The Forest Service intends to maintain ownership of this permit. See notes.,,,No,,,,,A011449,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208532
819,,The water is not put into current beneficial use. The Forest Service intends to maintain ownership of this permit. See notes.,,,No,,,,,A011449,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235177
820,,The water is not put into current beneficial use. The Forest Service intends to maintain ownership of this permit. See notes.,,,No,,,,,A011449,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293504
821,,The water is not put into current beneficial use. The Forest Service intends to change beneficial use to fish and wildlife enhancement.,,,No,,,,,A011449,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=334922
822,,The water is not put into current beneficial use. The Forest Service intends to change beneficial use to fish and wildlife enhancement,,,No,,,,,A011449,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340180
823,,,,"Forest Service requests a change of beneficial use to ""Fish and Wildlife Enhancement""",Yes,Yes,,,Yes,A011449,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37284
824,,"The water is no longer used for domestic use and the Forest Service requests a change of water right beneficial use to ""Fish and Wildlife Enhancement"".",,"Forest Service requests a change of beneficial use to ""Fish and Wildlife Enhancement""",No,Yes,,,Yes,A011449,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49396
825,,The water is no longer put to beneficial use. The FS intends to maintain ownership of this permit. See notes.,,,No,,,,,A011449,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85162
826,,,,,Yes,,,,,A011518,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112377
827,,,,,Yes,,,,,A011518,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156313
828,,,,,Yes,,,,,A011518,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207439
829,,,,,Yes,,,,,A011518,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235178
830,,,,,Yes,,,,,A011518,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292978
831,,,,,Yes,,,,,A011518,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340368
832,,,,,Yes,,,,,A011518,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37082
833,,,,,Yes,Yes,,,,A011518,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50133
834,,,,,Yes,,,,,A011518,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85163
835,,,,,Yes,,,,,A011564,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112008
836,,,,,Yes,,,,,A011564,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157220
837,,,,,Yes,,,,,A011564,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208339
838,,,,,Yes,,,,,A011564,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235179
839,,,,,Yes,,,,,A011564,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293988
840,,,,,Yes,,,,,A011564,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339624
841,,,,,Yes,,,,,A011564,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37138
842,--,--,--,--,Yes,Yes,,,,A011564,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49627
843,,,,,Yes,,,,,A011564,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84792
844,,,,,Yes,,,,,A011587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112759
845,,,,,Yes,,,,,A011587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=152478
846,,,,,Yes,,,,,A011587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=152480
847,,The project has not been built just yet.,,,No,,,,,A011587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156846
848,,The project has not been built just yet.,,,No,,,,,A011587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=180871
849,,The project has not been built yet.,,,No,,,,,A011587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207806
850,,,,,Yes,,,,,A011587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235180
851,,,,,Yes,,,,,A011587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340555
852,,,,,Yes,,,,,A011587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37269
853,,,"Per WR 2009-0063 EXEC, petitions were filed Jan 22, 2010.","Per WR 2009-0063 EXEC, petitions were filed Jan 22, 2010.",Yes,Yes,,Yes,Yes,A011587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50396
854,,,,,Yes,,,,,A011587,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85548
855,,,,,Yes,Yes,,,,A011674B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36953
856,,,,,Yes,Yes,,,,A011674B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49991
857,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110386
858,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110387
859,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110388
860,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110389
861,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110390
862,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110391
863,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110392
864,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110393
865,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110394
866,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110395
867,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110396
868,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110397
869,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110398
870,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110399
871,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110400
872,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110401
873,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110402
874,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111799
875,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=150551
876,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156314
877,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208533
878,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235181
879,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292979
880,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340558
881,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37750
882,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49871
883,,,,,Yes,,,,,A011761,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84583
884,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110403
885,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110404
886,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110405
887,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110406
888,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110407
889,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110408
890,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110409
891,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110410
892,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110411
893,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110412
894,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110413
895,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110414
896,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110415
897,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110416
898,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110417
899,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110418
900,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110419
901,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112760
902,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=150552
903,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156666
904,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208158
905,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235182
906,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293328
907,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340559
908,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37754
909,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49628
910,,,,,Yes,,,,,A011762,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85549
911,,,,,Yes,,,,,A011792B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112009
912,,,,,Yes,,,,,A011792B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157026
913,,,,,Yes,,,,,A011792B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207982
914,,,,,Yes,,,,,A011792B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=289926
915,,,,,Yes,,,,,A011792B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293824
916,,,,,Yes,,,,,A011792B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339625
917,,,,,Yes,,,,,A011792B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37380
918,,,,,Yes,Yes,,,,A011792B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50561
919,,,,,Yes,,,,,A011792B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84793
920,,"See ""Additional Remarks""",,,No,,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110162
921,,,,,Yes,,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110169
922,,,,,Yes,,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112761
923,,,,,Yes,,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157221
924,,,,,Yes,,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207983
925,,,,,Yes,,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235183
926,,,,,Yes,,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293882
927,,,,,Yes,,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340924
928,,See Remarks Section RE: Item 8,,,No,Yes,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36559
929,,,,,Yes,,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382194
930,,See Remarks Section,,,No,Yes,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48838
931,,See Remarks Section.,,,No,Yes,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48839
932,,See Remarks Section,,,No,Yes,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48840
933,,See Remarks Section,,,No,Yes,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48841
934,,See Remarks Section,,,No,Yes,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48842
935,,See Remarks Section,,,No,Yes,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48843
936,,"See ""Additional Remarks""",,,No,Yes,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49599
937,,"See ""Additional Remarks""",,,No,,,,,A011816,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85550
938,,,,,Yes,,,,,A011892,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111800
939,,During some days in 2013 JLPUD diverted water to the Clark Treatment Plant when the bypass amount at Fern Creek may have fallen below the required 200 gpm.  JLPUD filed Petitions for Change in 2014 to request a reduction in the required minimum flow amount in Fern Creek.  The Petitions are pending.,,,No,,,,,A011892,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156133
940,,,,,Yes,,,,,A011892,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207440
941,,,,,Yes,,,,,A011892,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235184
